开始日期,结束日期,广告组合名称,货币,广告活动名称,广告组名称,零售商,投放,匹配类型,客户搜索词,展示量,点击量,点击率,每次点击成本,花费,七天总销售额,广告投入产出比总计,总广告投资回报率,七天总订单数,七天总销售量,七天的转化率,七天内单个商品广告销售量,七天内其他单个商品销售量,七天内广告单个产品销售额,七天内其他单个产品销售额
2025-05-23,2025/5/23,Carpet,USD,Carpet cleaning Auto,CCL5C CCL3 CCL1C,Amazon,*,BROAD,1 1/2 wet vacuum head attachments,1,1,1,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-05-14,2025/5/14,Carpet,USD,Carpet cleaning Auto,CCL5C CCL3 CCL1C,Amazon,*,BROAD,b0dt3cjn66,1,1,1,0.12,0.12,0,,0,0,0,0,0,0,0,0
2025-05-26,2025/5/26,Carpet,USD,Carpet cleaning Auto,CCL5C CCL3 CCL1C,Amazon,*,BROAD,b0f4894jr6,1,1,1,0.12,0.12,0,,0,0,0,0,0,0,0,0
2025-05-10,2025/5/10,Carpet,USD,Carpet cleaning Auto,CCL5C CCL3 CCL1C,Amazon,*,BROAD,extractor head,3,1,0.333333333,0.12,0.12,0,,0,0,0,0,0,0,0,0
2025-05-14,2025/5/14,Carpet,USD,Carpet cleaning Auto,CCL5C CCL3 CCL1C,Amazon,*,BROAD,extractor vacuum,1,1,1,0.12,0.12,0,,0,0,0,0,0,0,0,0
2025-05-07,2025/5/14,Carpet,USD,Carpet cleaning Auto,CCL5C CCL3 CCL1C,Amazon,*,BROAD,shop vac attachments,106,2,0.018867925,0.12,0.24,0,,0,0,0,0,0,0,0,0
2025-05-10,2025/5/10,Carpet,USD,Carpet cleaning Auto,CCL5C CCL3 CCL1C,Amazon,*,BROAD,"shop vac extraction head with 2-1/2""",2,1,0.5,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-05-18,2025/5/28,Carpet,USD,Carpet cleaning Auto,CCL5C CCL3 CCL1C,Amazon,*,BROAD,vacuum extractor attachment,5,2,0.4,0.12,0.24,0,,0,0,0,0,0,0,0,0
2025-05-06,2025/5/6,Carpet,USD,Carpet cleaning Auto,CCL5C CCL3 CCL1C,Amazon,*,BROAD,vacuum extractor head car detailing,2,1,0.5,0.12,0.12,0,,0,0,0,0,0,0,0,0
2025-05-28,2025/5/28,Escutcheon,USD,"1/2"" white escutcheon Auto",10 Pack,Amazon,*,BROAD,b0ckyj2dyg,1,1,1,0.1,0.1,0,,0,0,0,0,0,0,0,0
2025-05-01,2025/5/1,Adapter,USD,Adapter Auto BHA2515 BHA2520,BHA2515,Amazon,*,BROAD,"1 1/2"" nh x 1"" nh",2,1,0.5,0.03,0.03,0,,0,0,0,0,0,0,0,0
2025-05-26,2025/5/26,Adapter,USD,Adapter Auto BHA2515 BHA2520,BHA2515,Amazon,*,BROAD,1.5 inch female to 3/4 inch reducer,1,1,1,0.14,0.14,0,,0,0,0,0,0,0,0,0
2025-05-15,2025/5/15,Adapter,USD,Adapter Auto BHA2515 BHA2520,BHA2515,Amazon,*,BROAD,2 1/2 nh swivel,2,1,0.5,0.1,0.1,0,,0,0,0,0,0,0,0,0
2025-05-02,2025/5/2,Adapter,USD,Adapter Auto BHA2515 BHA2520,BHA2515,Amazon,*,BROAD,b007d58k4s,1,1,1,0.1,0.1,0,,0,0,0,0,0,0,0,0
2025-05-08,2025/5/8,Adapter,USD,Adapter Auto BHA2515 BHA2520,BHA2515,Amazon,*,BROAD,b017mokpcy,1,1,1,0.15,0.15,0,,0,0,0,0,0,0,0,0
2025-05-13,2025/5/13,Adapter,USD,Adapter Auto BHA2515 BHA2520,BHA2515,Amazon,*,BROAD,b07dqt6mb5,1,1,1,0.12,0.12,0,,0,0,0,0,0,0,0,0
2025-05-05,2025/5/5,Adapter,USD,Adapter Auto BHA2515 BHA2520,BHA2515,Amazon,*,BROAD,b089sy9qzf,2,1,0.5,0.15,0.15,0,,0,0,0,0,0,0,0,0
2025-05-04,2025/5/4,Adapter,USD,Adapter Auto BHA2515 BHA2520,BHA2515,Amazon,*,BROAD,b08hszb784,1,1,1,0.15,0.15,0,,0,0,0,0,0,0,0,0
2025-05-08,2025/5/8,Adapter,USD,Adapter Auto BHA2515 BHA2520,BHA2515,Amazon,*,BROAD,b09sz75b4j,2,1,0.5,0.15,0.15,0,,0,0,0,0,0,0,0,0
2025-05-01,2025/5/23,Adapter,USD,Adapter Key Words,BHA2515,Amazon,fire hydrant adapter,EXACT,fire hydrant adapter,255,4,0.015686275,0.4925,1.97,0,,0,0,0,0,0,0,0,0
2025-05-05,2025/5/5,Guard G02R,USD,Guard FSG02R Automatic,2 Pack,Amazon,*,BROAD,b0ctfgg73v,1,1,1,0.13,0.13,0,,0,0,0,0,0,0,0,0
2025-05-15,2025/5/15,Escutcheon,USD,"1/2"" white escutcheon Auto",2 Pack,Amazon,*,BROAD,tree ring,1,1,1,0.13,0.13,0,,0,0,0,0,0,0,0,0
2025-05-11,2025/5/11,Nozzle,USD,1.5 in Brass Nozzle Auto,FHSN04BNPSH,Amazon,*,BROAD,b085xg5gdb,1,1,1,0.22,0.22,0,,0,0,0,0,0,0,0,0
2025-05-14,2025/5/14,Nozzle,USD,1.5 in Brass Nozzle Auto,FHSN04BNPSH,Amazon,*,BROAD,b0d1vpw476,1,1,1,0.22,0.22,0,,0,0,0,0,0,0,0,0
2025-05-27,2025/5/27,Carpet,USD,Carpet cleaning Auto,CCS1ADP,Amazon,*,BROAD,shop vac adapter 2 1/2 to 1 1/4,1,1,1,0.07,0.07,0,,0,0,0,0,0,0,0,0
2025-05-18,2025/5/18,Adapter,USD,Adapter Key Words,BHA2515,Amazon,brass adapter,BROAD,brass adapter 1.5” insert x 1.5” fpt,1,1,1,0.15,0.15,0,,0,0,0,0,0,0,0,0
2025-05-14,2025/5/14,Escutcheon,USD,"1/2"" Chrome Escutcheon Auto",SE2C06,Amazon,*,BROAD,b0dm6z7r1y,1,1,1,0.12,0.12,0,,0,0,0,0,0,0,0,0
2025-05-12,2025/5/12,Escutcheon,USD,"1/2"" white escutcheon Auto",12 Pack,Amazon,*,BROAD,b0bsgnmbgj,4,1,0.25,0.08,0.08,0,,0,0,0,0,0,0,0,0
2025-05-14,2025/5/14,Escutcheon,USD,"1/2"" white escutcheon Auto",12 Pack,Amazon,*,BROAD,b0dbkmyd7z,2,1,0.5,0.13,0.13,36.66,0.35%,282,1,1,1,1,0,36.66,0
