"七天总销售额减去花费","平均点击率","平均总广告投资回报率","广告组名称"
"-17.68","0.32","0.81","词根词短sprinkler+"
"-7.78","0.72","5.81","Carpet Cleaner chemical liquid"
"-0.23","0.01","0.00","shop vac Armor All StealthCen-Tec Systems Fein Turbo Makita IOENC Milwaukee WORKSHOP EGO Milwaukee BLACK+DECKER PORTER-CABLE Koblenz Kenmore"
"-0.50","0.50","0.00","Size 1.5"" and thread"
"-66.18","0.19","0.00","高相关"
"-0.17","1.00","0.00","CCS3 CCS5A"
"-3.71","0.46","0.00","词根词混合sprinkler+ or sprinkle head+"
"-0.30","0.25","0.00","Upholstery"
"-0.38","0.75","0.00","Accessories accessory"
"-0.30","0.25","0.00","Attachment car"
"-0.80","0.29","0.00","CCS1C 单扒头"
"-0.90","0.15","0.00","RipcleanHiDetail"
"-1.53","0.73","0.00","2 Pack"
"-0.62","0.25","0.00","Knupp"
"-0.50","0.05","0.00","Powertec Mountain Trades Palart Ton Gass parts:38:31.997"
"-0.30","0.33","0.00","Plastic"
"-3.65","0.67","0.00","BHA2515"
"-3.69","0.52","0.00","Adapter Novino Qwork  Boltigen FANOVO GOODSKYO LTWFITTING   WanTing Hello to Winning  Direct Shop MaxPar"
"-3.40","0.56","0.00","BHA2575"
"-0.40","0.63","0.00","G04C06"
"-1.68","0.43","0.00","G05W02 04 ASIN"
"-0.30","0.50","0.00","G05R06"
"-2.49","0.44","0.00","BHA2520"
"-1.40","0.78","0.00","类目"
"-4.42","0.26","0.00","Fire sprinkler head China ships from Amazon"
"-0.14","0.42","0.00","Escutcheon White words Phrase"
"-0.11","0.11","0.00","Metal Magery"
"-7.36","0.36","0.00","词根词混合sprinkler+ or sprinkler head+"
"-0.90","0.27","0.00","Accessories"
"-6.71","0.23","0.00","2"""
"-1.22","0.06","0.00","South Ave"
"-10.36","0.06","0.00","Adapter 首页首位"
"-0.37","0.50","0.00","Smoker cover中国自发货"
"-1.18","0.02","0.00","Armor All StealthCen-Tec Systems Fein Turbo Makita IOENC Milwaukee WORKSHOP EGO Milwaukee BLACK+DECKER PORTER-CABLE Koblenz Kenmore WEN Vevor Amazon Basics Weclean Shark"
"-1.54","0.67","0.00","Dixon"
"-0.82","0.57","0.00","高ACOS"
"-0.44","1.00","0.00","FHSN04BNPSH"
"-3.53","0.03","0.00","Brass Nozzle"
"-5.88","0.20","0.00","fire sprinkler covers for ceiling"
"-0.31","1.00","0.00","Dewalt"
"-0.52","0.20","0.00","HT Escutcheon"
"-0.20","0.33","0.00","ACNP1520"
"-2.48","0.40","0.00","1.5NH NST"
"-1.68","0.03","0.00","Ripclean Hidetail"
"-2.23","0.24","0.00","PVC hose DAVCO"
"-0.84","0.79","0.00","1.5"
"-1.20","0.55","0.00","shop vac Armor All StealthCen-Tec Systems Fein Turbo Makita IOENC Milwaukee WORKSHOP EGO Milwaukee BLACK+DECKER PORTER-CABLE Koblenz Kenmore WEN Vevor Amazon Basics Weclean Shark"
"-0.20","1.00","0.00","G05W02 04 words"
"-1.75","0.75","0.00","Sprinkler box"
"-3.56","0.26","0.00","Dixon Adapter Blastline USA Inc."
"-0.45","0.25","0.00","Size"
"-1.02","0.45","0.00","Fire Hose fire hose direct"
"-3.88","0.12","0.00","Wrench & shut off tool"
"-0.40","1.00","0.00","USA Real Carpet extractor Mytee"
"-0.69","1.00","0.00","SEW10"
"-1.57","1.00","0.00","买家搜索出单词Recessed and Cage"
"-2.64","0.25","0.00","Portable Machine  Bissell Hoover IRIS EUREKATineco Shark Kenmore"
"-1.21","0.29","0.00","Adapter Novino Qwork Boltigen LTWFITTING honest-f FANOVO GOODSKYO WanTing Hello to Winning Direct Shop MaxParts Melgweldr"
"-0.20","1.00","0.00","G05R02"
"-0.39","0.35","0.00","Carpet CCS5C product targeting category"
"-7.11","0.67","0.00","Sprinkler head cover fire sprinkler parts"
"-0.60","0.75","0.00","CCS3 USA real extractor attachments"
"-5.60","0.67","0.00","Smoker cover ship from amzon"
"-0.17","0.33","0.00","FSG06W04"
"-1.22","0.64","0.00","CCL5C CCL3 CCL1C"
"-0.25","0.67","0.00","10 Pack"
"-2.49","0.23","0.00","GoldenGateSupply &Honest Supply Store自发货美国"
"-1.75","0.25","0.00","Fire sprinkler +混合长尾词 Fire sprinkler head+混合长尾词"
"-2.48","0.42","0.00","1  and 1.5 inch"
"-0.07","1.00","0.00","CCS1ADP"
"-2.94","0.66","0.00","Hydrant Wrench"
"-0.52","0.25","0.00","SEW12"
"-0.36","1.00","0.00","Adapter Blastline USA Inc.Dixon"
"-5.40","0.23","0.00","FNP1220NPSH"
"-0.18","0.20","0.00","CCS5A Machine Bissell Hoover IRIS EUREKATineco Shark Kenmore"
"-0.10","1.00","0.00","G02R0275"
"-2.56","0.67","0.00","SE2C06"
